,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
41918,1004,Bangladesh,Sri Lanka,0,88,6,7.88,Dubai,183,53,36.0
46516,1225,England,West Indies,0,117,9,11.9,Tarouba,267,61,38.0
66275,2286,England,Pakistan,0,5,10,6.0,London,185,115,37.0
63417,2256,India,India,4,113,8,7.98,Durban,188,35,38.0
35327,715,Pakistan,Australia,0,132,5,7.54,Lahore,162,15,32.0
29847,559,Bangladesh,Sri Lanka,0,150,6,8.11,Sharjah,171,9,32.0
49232,1342,Pakistan,New Zealand,1,120,6,7.35,Christchurch,158,22,30.0
91930,2556,Bangladesh,Australia,0,53,8,6.24,Mirpur,153,69,30.0
16986,222,New Zealand,India,1,83,6,6.47,Auckland,132,43,30.0
39450,977,India,New Zealand,1,89,8,7.74,Mount Maunganui,191,51,30.0
37073,768,Pakistan,England,0,129,3,6.97,Melbourne,137,9,30.0
21038,407,New Zealand,Australia,1,57,7,6.11,Christchurch,184,64,29.0
93673,2573,South Africa,West Indies,6,53,10,10.6,Durban,195,90,30.0
96936,2616,England,Pakistan,1,82,7,6.93,Dubai,172,49,33.0
46683,1226,England,West Indies,0,121,4,7.12,Tarouba,132,18,33.0
84831,2473,Pakistan,Pakistan,0,29,9,7.25,Centurion,195,96,29.0
45610,1172,Bangladesh,England,4,36,10,8.31,Dhaka,158,94,29.0
57078,1832,Pakistan,New Zealand,0,57,5,4.96,Christchurch,91,51,29.0
35310,715,Pakistan,Australia,1,111,7,7.57,Lahore,162,32,28.0
97107,2617,England,Pakistan,4,140,4,7.57,Sharjah,154,9,26.0
79956,2420,Pakistan,Pakistan,0,123,8,8.89,Pallekele,177,37,26.0
42289,1008,Pakistan,Sri Lanka,0,66,8,6.6,Dubai,121,60,23.0
74084,2357,Pakistan,Pakistan,0,44,9,7.76,Cardiff,126,86,23.0
79373,2412,England,Pakistan,4,43,8,6.97,Abu Dhabi,129,83,26.0
26652,472,West Indies,Australia,1,38,9,7.35,Gros Islet,196,89,25.0
49555,1345,Australia,New Zealand,6,94,8,12.53,Auckland,174,75,25.0
81522,2434,Pakistan,Pakistan,1,34,8,5.23,Colombo,149,81,24.0
63409,2256,India,India,1,91,8,7.09,Durban,188,43,21.0
98429,2628,West Indies,West Indies,1,102,6,8.05,Colombo,162,44,27.0
76186,2383,Pakistan,Pakistan,0,68,4,7.16,Auckland,143,63,27.0
96677,2614,Australia,India,1,80,7,8.0,Sydney,197,60,28.0
18420,277,England,Australia,0,21,9,4.67,Southampton,145,93,27.0
43402,1057,New Zealand,England,1,15,10,7.5,Birmingham,202,108,27.0
